ano;uf;municipio;codigo_ibge;diagnostico;casos;rebanho
2022;MG;Sabinópolis;3156809;Fasciolose Hepática (notificação Sif);1;36897
2022;MG;Sabinópolis;3156809;Fígado Amarelo;7;36897
2022;MG;Sabinópolis;3156809;Lesões Tuberculósicas;3;36897
2022;MG;Sabinópolis;3156809;Miíase Cutânea;4;36897
2022;MG;Sacramento;3156908;Cisticercose Bovina;22;121842
2022;MG;Sacramento;3156908;Equinococose/hidatidose (notificaçao Sif);3;121842
2022;MG;Sacramento;3156908;Fasciolose Hepática (notificação Sif);2;121842
2022;MG;Sacramento;3156908;Fígado Amarelo;3;121842
2022;MG;Sacramento;3156908;Lesões Tuberculósicas;10;121842
2022;MG;Sacramento;3156908;Miíase Cutânea;3;121842
2022;MG;Sacramento;3156908;Tuberculose (notificação Sif);3;121842
2022;MG;Salinas;3157005;Actinomicose (notificação Sif);2;42691
2022;MG;Salinas;3157005;Cisticercose Bovina;4;42691
2022;MG;Salinas;3157005;Tuberculose (notificação Sif);1;42691
2022;MG;Salto da Divisa;3157104;Actinomicose (notificação Sif);3;58394
2022;MG;Salto da Divisa;3157104;Cisticercose Bovina;4;58394
2022;MG;Salto da Divisa;3157104;Fígado Amarelo;1;58394
2022;MG;Salto da Divisa;3157104;Lesões Tuberculósicas;1;58394
2022;MG;Santa Bárbara do Leste;3157252;Fasciolose Hepática (notificação Sif);2;1399
2022;MG;Santa Bárbara do Monte Verde;3157278;Lesões Tuberculósicas;1;16850
2022;MG;Santa Bárbara do Tugúrio;3157302;Lesões Tuberculósicas;1;14320
2022;MG;Santa Cruz de Salinas;3157377;Cisticercose Bovina;1;10322
2022;MG;Santa Cruz do Escalvado;3157401;Cisticercose Bovina;1;17512
2022;MG;Santa Cruz do Escalvado;3157401;Lesões Tuberculósicas;4;17512
2022;MG;Santa Fé de Minas;3157609;Actinomicose (notificação Sif);1;38820
2022;MG;Santa Fé de Minas;3157609;Cisticercose Bovina;1;38820
2022;MG;Santa Juliana;3157708;Fígado Amarelo;2;28744
2022;MG;Santa Juliana;3157708;Miíase Cutânea;1;28744
2022;MG;Santa Juliana;3157708;Tuberculose (notificação Sif);1;28744
2022;MG;Santa Maria de Itabira;3158003;Cisticercose Bovina;3;17733
2022;MG;Santa Maria de Itabira;3158003;Lesões Tuberculósicas;2;17733
2022;MG;Santa Maria do Salto;3158102;Actinomicose (notificação Sif);1;14910
2022;MG;Santa Maria do Suaçuí;3158201;Cisticercose Bovina;1;31524
2022;MG;Santa Maria do Suaçuí;3158201;Equinococose/hidatidose (notificaçao Sif);1;31524
2022;MG;Santa Maria do Suaçuí;3158201;Fasciolose Hepática (notificação Sif);1;31524
2022;MG;Santa Maria do Suaçuí;3158201;Fígado Amarelo;1;31524
2022;MG;Santa Maria do Suaçuí;3158201;Miíase Cutânea;1;31524
2022;MG;Santa Rita de Caldas;3159209;Cisticercose Bovina;1;39276
2022;MG;Santa Rita de Caldas;3159209;Fasciolose Hepática (notificação Sif);46;39276
2022;MG;Santa Rita de Caldas;3159209;Lesões Tuberculósicas;2;39276
2022;MG;Santa Rita de Ibitipoca;3159407;Cisticercose Bovina;1;14491
2022;MG;Santa Rita de Jacutinga;3159308;Fasciolose Hepática (notificação Sif);3;22898
2022;MG;Santa Rita de Jacutinga;3159308;Lesões Tuberculósicas;1;22898
2022;MG;Santa Rita do Itueto;3159506;Actinomicose (notificação Sif);1;16166
2022;MG;Santa Rita do Itueto;3159506;Miíase Cutânea;1;16166
2022;MG;Santa Rita do Sapucaí;3159605;Fasciolose Hepática (notificação Sif);2;25348
2022;MG;Santa Rosa da Serra;3159704;Cisticercose Bovina;3;11714
2022;MG;Santa Rosa da Serra;3159704;Lesões Tuberculósicas;1;11714
2022;MG;Santa Vitória;3159803;Cisticercose Bovina;109;300000
2022;MG;Santa Vitória;3159803;Equinococose/hidatidose (notificaçao Sif);3;300000
2022;MG;Santa Vitória;3159803;Euritrematose (ruminantes);2;300000
2022;MG;Santa Vitória;3159803;Fasciolose Hepática (notificação Sif);5;300000
2022;MG;Santa Vitória;3159803;Fígado Amarelo;2;300000
2022;MG;Santa Vitória;3159803;Lesões Tuberculósicas;15;300000
2022;MG;Santa Vitória;3159803;Miíase Cutânea;1;300000
2022;MG;Santa Vitória;3159803;Tuberculose (notificação Sif);14;300000
2022;MG;Santa Vitória;3159803;Tuberculose (reagente Notificação Sif);1;300000
2022;MG;Santana da Vargem;3158300;Cisticercose Bovina;1;3009
2022;MG;Santana de Pirapama;3158508;Equinococose/hidatidose (notificaçao Sif);1;25537
2022;MG;Santana de Pirapama;3158508;Fígado Amarelo;1;25537
2022;MG;Santana do Jacaré;3158805;Cisticercose Bovina;2;7955
2022;MG;Santana do Jacaré;3158805;Lesões Tuberculósicas;2;7955
2022;MG;Santana do Manhuaçu;3158904;Cisticercose Bovina;1;11287
2022;MG;Santana do Manhuaçu;3158904;Equinococose/hidatidose (notificaçao Sif);1;11287
2022;MG;Santana do Manhuaçu;3158904;Fasciolose Hepática (notificação Sif);1;11287
2022;MG;Santana do Manhuaçu;3158904;Fígado Amarelo;2;11287
2022;MG;Santana do Manhuaçu;3158904;Miíase Cutânea;2;11287
2022;MG;Santana do Manhuaçu;3158904;Tuberculose (notificação Sif);1;11287
2022;MG;Santo Antônio do Amparo;3159902;Cisticercose Bovina;10;16529
2022;MG;Santo Antônio do Amparo;3159902;Fasciolose Hepática (notificação Sif);8;16529
2022;MG;Santo Antônio do Amparo;3159902;Fígado Amarelo;1;16529
2022;MG;Santo Antônio do Amparo;3159902;Lesões Tuberculósicas;9;16529
2022;MG;Santo Antônio do Aventureiro;3160009;Fasciolose Hepática (notificação Sif);6;13690
2022;MG;Santo Antônio do Aventureiro;3160009;Lesões Tuberculósicas;2;13690
2022;MG;Santo Antônio do Grama;3160108;Cisticercose Bovina;1;8464
2022;MG;Santo Antônio do Itambé;3160207;Fígado Amarelo;1;11723
2022;MG;Santo Antônio do Monte;3160405;Cisticercose Bovina;28;89299
2022;MG;Santo Antônio do Monte;3160405;Lesões Tuberculósicas;9;89299
2022;MG;Santo Antônio do Rio Abaixo;3160504;Lesões Tuberculósicas;1;6204
2022;MG;Santo Hipólito;3160603;Cisticercose Bovina;3;22822
2022;MG;Santo Hipólito;3160603;Lesões Tuberculósicas;1;22822
2022;MG;Santos Dumont;3160702;Fasciolose Hepática (notificação Sif);2;28423
2022;MG;Santos Dumont;3160702;Lesões Tuberculósicas;1;28423
2022;MG;São Bento Abade;3160801;Euritrematose (ruminantes);2;1710
2022;MG;São Bento Abade;3160801;Lesões Tuberculósicas;1;1710
2022;MG;São Brás do Suaçuí;3160900;Cisticercose Bovina;2;3835
2022;MG;São Domingos do Prata;3161007;Cisticercose Bovina;5;30228
2022;MG;São Domingos do Prata;3161007;Fígado Amarelo;3;30228
2022;MG;São Domingos do Prata;3161007;Lesões Tuberculósicas;1;30228
2022;MG;São Félix de Minas;3161056;Cisticercose Bovina;4;11183
2022;MG;São Félix de Minas;3161056;Equinococose/hidatidose (notificaçao Sif);3;11183
2022;MG;São Félix de Minas;3161056;Fasciolose Hepática (notificação Sif);3;11183
2022;MG;São Félix de Minas;3161056;Fígado Amarelo;10;11183
2022;MG;São Félix de Minas;3161056;Miíase Cutânea;9;11183
2022;MG;São Francisco;3161106;Actinomicose (já Notificado);1;147518
