codigo_ibge;uf;municipio;ano;cabecas
1506203;PA;Salinópolis;2021;214
1506302;PA;Salvaterra;2021;6200
1506351;PA;Santa Bárbara do Pará;2021;1845
1506401;PA;Santa Cruz do Arari;2021;22189
1506500;PA;Santa Izabel do Pará;2021;19115
1506559;PA;Santa Luzia do Pará;2021;74749
1506583;PA;Santa Maria das Barreiras;2021;631667
1506609;PA;Santa Maria do Pará;2021;20846
1506708;PA;Santana do Araguaia;2021;612172
1506807;PA;Santarém;2021;128258
1506906;PA;Santarém Novo;2021;3843
1507003;PA;Santo Antônio do Tauá;2021;6330
1507102;PA;São Caetano de Odivelas;2021;1959
1507151;PA;São Domingos do Araguaia;2021;187678
1507201;PA;São Domingos do Capim;2021;55062
1507300;PA;São Félix do Xingu;2021;2468764
1507409;PA;São Francisco do Pará;2021;19277
1507458;PA;São Geraldo do Araguaia;2021;385545
1507466;PA;São João da Ponta;2021;1332
1507474;PA;São João de Pirabas;2021;5641
1507508;PA;São João do Araguaia;2021;131830
1507607;PA;São Miguel do Guamá;2021;41610
1507706;PA;São Sebastião da Boa Vista;2021;50
1507755;PA;Sapucaia;2021;165633
1507805;PA;Senador José Porfírio;2021;116862
1507904;PA;Soure;2021;39890
1507953;PA;Tailândia;2021;86300
1507961;PA;Terra Alta;2021;4615
1507979;PA;Terra Santa;2021;32706
1508001;PA;Tomé-Açu;2021;126689
1508035;PA;Tracuateua;2021;15114
1508050;PA;Trairão;2021;122795
1508084;PA;Tucumã;2021;342708
1508100;PA;Tucuruí;2021;81313
1508126;PA;Ulianópolis;2021;79975
1508159;PA;Uruará;2021;340906
1508209;PA;Vigia;2021;3541
1508308;PA;Viseu;2021;117992
1508357;PA;Vitória do Xingu;2021;185946
1508407;PA;Xinguara;2021;546029
1600055;AP;Serra do Navio;2021;440
1600105;AP;Amapá;2021;10828
1600154;AP;Pedra Branca do Amapari;2021;741
1600204;AP;Calçoene;2021;4084
1600212;AP;Cutias;2021;1283
1600238;AP;Ferreira Gomes;2021;544
1600253;AP;Itaubal;2021;997
1600279;AP;Laranjal do Jari;2021;2735
1600303;AP;Macapá;2021;7010
1600402;AP;Mazagão;2021;915
1600501;AP;Oiapoque;2021;1878
1600535;AP;Porto Grande;2021;5676
1600550;AP;Pracuúba;2021;2914
1600600;AP;Santana;2021;1495
1600709;AP;Tartarugalzinho;2021;10213
1600808;AP;Vitória do Jari;2021;1015
1700251;TO;Abreulândia;2021;80185
1700301;TO;Aguiarnópolis;2021;14774
1700350;TO;Aliança do Tocantins;2021;90285
1700400;TO;Almas;2021;70869
1700707;TO;Alvorada;2021;79519
1701002;TO;Ananás;2021;119044
1701051;TO;Angico;2021;17959
1701101;TO;Aparecida do Rio Negro;2021;20912
1701309;TO;Aragominas;2021;102253
1701903;TO;Araguacema;2021;62980
1702000;TO;Araguaçu;2021;407760
1702109;TO;Araguaína;2021;278289
1702158;TO;Araguanã;2021;86669
1702208;TO;Araguatins;2021;184115
1702307;TO;Arapoema;2021;165359
1702406;TO;Arraias;2021;215726
1702554;TO;Augustinópolis;2021;67428
1702703;TO;Aurora do Tocantins;2021;48372
1702901;TO;Axixá do Tocantins;2021;38857
1703008;TO;Babaçulândia;2021;71462
1703057;TO;Bandeirantes do Tocantins;2021;154085
1703073;TO;Barra do Ouro;2021;29988
1703107;TO;Barrolândia;2021;74178
1703206;TO;Bernardo Sayão;2021;104070
1703305;TO;Bom Jesus do Tocantins;2021;32923
1703602;TO;Brasilândia do Tocantins;2021;38409
1703701;TO;Brejinho de Nazaré;2021;54880
1703800;TO;Buriti do Tocantins;2021;33813
1703826;TO;Cachoeirinha;2021;9126
1703842;TO;Campos Lindos;2021;36591
1703867;TO;Cariri do Tocantins;2021;79354
1703883;TO;Carmolândia;2021;38432
1703891;TO;Carrasco Bonito;2021;22917
1703909;TO;Caseara;2021;53950
1704105;TO;Centenário;2021;22873
1704600;TO;Chapada de Areia;2021;35875
1705102;TO;Chapada da Natividade;2021;32737
1705508;TO;Colinas do Tocantins;2021;137583
1705557;TO;Combinado;2021;26968
1705607;TO;Conceição do Tocantins;2021;35524
1706001;TO;Couto Magalhães;2021;62635
1706100;TO;Cristalândia;2021;77351
1706258;TO;Crixás do Tocantins;2021;51938
1706506;TO;Darcinópolis;2021;27847
1707009;TO;Dianópolis;2021;59354
1707108;TO;Divinópolis do Tocantins;2021;128743
1707207;TO;Dois Irmãos do Tocantins;2021;184233
1707306;TO;Dueré;2021;190722
1707405;TO;Esperantina;2021;25701
1707553;TO;Fátima;2021;24651
1707652;TO;Figueirópolis;2021;109656
