ano;mes;uf;especie;abatidos
2021;11;RJ;BOVINOS;1791
2021;11;RO;BOVINOS;116026
2021;11;RR;BOVINOS;2342
2021;11;RS;BOVINOS;59761
2021;11;SC;BOVINOS;6963
2021;11;SP;BOVINOS;171948
2021;11;TO;BOVINOS;71741
2021;12;AC;BOVINOS;32623
2021;12;AM;BOVINOS;2992
2021;12;BA;BOVINOS;22373
2021;12;DF;BOVINOS;58
2021;12;ES;BOVINOS;3876
2021;12;GO;BOVINOS;211683
2021;12;MA;BOVINOS;35056
2021;12;MG;BOVINOS;155749
2021;12;MS;BOVINOS;259905
2021;12;MT;BOVINOS;426569
2021;12;PA;BOVINOS;163480
2021;12;PR;BOVINOS;67271
2021;12;RJ;BOVINOS;2799
2021;12;RO;BOVINOS;163222
2021;12;RR;BOVINOS;1069
2021;12;RS;BOVINOS;61912
2021;12;SC;BOVINOS;7571
2021;12;SE;BOVINOS;159
2021;12;SP;BOVINOS;205984
2021;12;TO;BOVINOS;69648
2022;1;AC;BOVINOS;30710
2022;1;AM;BOVINOS;2344
2022;1;BA;BOVINOS;24484
2022;1;DF;BOVINOS;22
2022;1;ES;BOVINOS;4222
2022;1;GO;BOVINOS;185431
2022;1;MA;BOVINOS;33389
2022;1;MG;BOVINOS;130629
2022;1;MS;BOVINOS;247548
2022;1;MT;BOVINOS;387333
2022;1;PA;BOVINOS;169880
2022;1;PI;BOVINOS;297
2022;1;PR;BOVINOS;54371
2022;1;RJ;BOVINOS;2793
2022;1;RO;BOVINOS;143356
2022;1;RR;BOVINOS;2240
2022;1;RS;BOVINOS;49262
2022;1;SC;BOVINOS;7745
2022;1;SE;BOVINOS;407
2022;1;SP;BOVINOS;184199
2022;1;TO;BOVINOS;73966
2022;2;AC;BOVINOS;10879
2022;2;AM;BOVINOS;4086
2022;2;BA;BOVINOS;19580
2022;2;DF;BOVINOS;235
2022;2;ES;BOVINOS;4896
2022;2;GO;BOVINOS;200425
